params,retorno_porcentual,win_rate
"{'periodo_corto': 4, 'periodo_largo': 194, 'periodo_signal': 3}",1.59,0.49382716049382713
"{'periodo_corto': 5, 'periodo_largo': 10, 'periodo_signal': 4}",1.59,0.5
"{'periodo_corto': 18, 'periodo_largo': 17, 'periodo_signal': 7}",1.59,0.640625
"{'periodo_corto': 19, 'periodo_largo': 18, 'periodo_signal': 7}",1.59,0.6171875
"{'periodo_corto': 2, 'periodo_largo': 188, 'periodo_signal': 6}",1.58,0.47619047619047616
"{'periodo_corto': 3, 'periodo_largo': 93, 'periodo_signal': 5}",1.58,0.4883720930232558
"{'periodo_corto': 4, 'periodo_largo': 103, 'periodo_signal': 3}",1.58,0.4725274725274725
"{'periodo_corto': 4, 'periodo_largo': 109, 'periodo_signal': 3}",1.58,0.47191011235955055
"{'periodo_corto': 2, 'periodo_largo': 95, 'periodo_signal': 6}",1.57,0.4536082474226804
"{'periodo_corto': 2, 'periodo_largo': 113, 'periodo_signal': 6}",1.57,0.4444444444444444
"{'periodo_corto': 4, 'periodo_largo': 192, 'periodo_signal': 3}",1.57,0.49382716049382713
"{'periodo_corto': 2, 'periodo_largo': 11, 'periodo_signal': 6}",1.56,0.4956521739130435
"{'periodo_corto': 2, 'periodo_largo': 114, 'periodo_signal': 6}",1.56,0.43956043956043955
"{'periodo_corto': 2, 'periodo_largo': 115, 'periodo_signal': 6}",1.56,0.43956043956043955
"{'periodo_corto': 2, 'periodo_largo': 186, 'periodo_signal': 6}",1.56,0.47058823529411764
"{'periodo_corto': 2, 'periodo_largo': 187, 'periodo_signal': 6}",1.56,0.47058823529411764
"{'periodo_corto': 3, 'periodo_largo': 92, 'periodo_signal': 5}",1.56,0.5113636363636364
"{'periodo_corto': 3, 'periodo_largo': 95, 'periodo_signal': 5}",1.56,0.4942528735632184
"{'periodo_corto': 4, 'periodo_largo': 91, 'periodo_signal': 4}",1.56,0.4805194805194805
"{'periodo_corto': 4, 'periodo_largo': 92, 'periodo_signal': 4}",1.56,0.47435897435897434
"{'periodo_corto': 2, 'periodo_largo': 98, 'periodo_signal': 6}",1.55,0.4375
"{'periodo_corto': 2, 'periodo_largo': 112, 'periodo_signal': 6}",1.55,0.43956043956043955
"{'periodo_corto': 2, 'periodo_largo': 119, 'periodo_signal': 6}",1.55,0.44565217391304346
"{'periodo_corto': 2, 'periodo_largo': 183, 'periodo_signal': 6}",1.55,0.4942528735632184
"{'periodo_corto': 2, 'periodo_largo': 184, 'periodo_signal': 6}",1.55,0.4942528735632184
"{'periodo_corto': 2, 'periodo_largo': 185, 'periodo_signal': 6}",1.55,0.5
"{'periodo_corto': 4, 'periodo_largo': 12, 'periodo_signal': 6}",1.55,0.5
"{'periodo_corto': 4, 'periodo_largo': 76, 'periodo_signal': 3}",1.55,0.4742268041237113
"{'periodo_corto': 5, 'periodo_largo': 13, 'periodo_signal': 5}",1.55,0.4827586206896552
"{'periodo_corto': 19, 'periodo_largo': 16, 'periodo_signal': 8}",1.55,0.5952380952380952
"{'periodo_corto': 2, 'periodo_largo': 28, 'periodo_signal': 5}",1.54,0.4666666666666667
"{'periodo_corto': 2, 'periodo_largo': 88, 'periodo_signal': 6}",1.54,0.44
"{'periodo_corto': 2, 'periodo_largo': 116, 'periodo_signal': 6}",1.54,0.45054945054945056
"{'periodo_corto': 4, 'periodo_largo': 77, 'periodo_signal': 3}",1.54,0.4742268041237113
"{'periodo_corto': 4, 'periodo_largo': 86, 'periodo_signal': 4}",1.54,0.4935064935064935
"{'periodo_corto': 4, 'periodo_largo': 102, 'periodo_signal': 3}",1.54,0.4673913043478261
"{'periodo_corto': 4, 'periodo_largo': 119, 'periodo_signal': 3}",1.54,0.47126436781609193
"{'periodo_corto': 6, 'periodo_largo': 14, 'periodo_signal': 4}",1.54,0.5638297872340425
"{'periodo_corto': 2, 'periodo_largo': 13, 'periodo_signal': 9}",1.53,0.47
"{'periodo_corto': 2, 'periodo_largo': 84, 'periodo_signal': 6}",1.53,0.42857142857142855
"{'periodo_corto': 2, 'periodo_largo': 165, 'periodo_signal': 6}",1.53,0.45977011494252873
"{'periodo_corto': 2, 'periodo_largo': 166, 'periodo_signal': 6}",1.53,0.45977011494252873
"{'periodo_corto': 2, 'periodo_largo': 180, 'periodo_signal': 6}",1.53,0.4883720930232558
"{'periodo_corto': 4, 'periodo_largo': 89, 'periodo_signal': 4}",1.53,0.47435897435897434
"{'periodo_corto': 4, 'periodo_largo': 108, 'periodo_signal': 3}",1.53,0.46153846153846156
"{'periodo_corto': 4, 'periodo_largo': 117, 'periodo_signal': 3}",1.53,0.47674418604651164
"{'periodo_corto': 4, 'periodo_largo': 118, 'periodo_signal': 3}",1.53,0.47674418604651164
"{'periodo_corto': 19, 'periodo_largo': 16, 'periodo_signal': 9}",1.53,0.569620253164557
"{'periodo_corto': 2, 'periodo_largo': 92, 'periodo_signal': 6}",1.52,0.4387755102040816
"{'periodo_corto': 2, 'periodo_largo': 100, 'periodo_signal': 6}",1.52,0.45263157894736844
"{'periodo_corto': 4, 'periodo_largo': 90, 'periodo_signal': 4}",1.52,0.46835443037974683
"{'periodo_corto': 5, 'periodo_largo': 90, 'periodo_signal': 3}",1.52,0.43023255813953487
"{'periodo_corto': 18, 'periodo_largo': 12, 'periodo_signal': 5}",1.52,0.6025641025641025
"{'periodo_corto': 2, 'periodo_largo': 83, 'periodo_signal': 6}",1.51,0.42857142857142855
"{'periodo_corto': 2, 'periodo_largo': 94, 'periodo_signal': 6}",1.51,0.4387755102040816
"{'periodo_corto': 2, 'periodo_largo': 101, 'periodo_signal': 6}",1.51,0.45263157894736844
"{'periodo_corto': 2, 'periodo_largo': 108, 'periodo_signal': 6}",1.51,0.45054945054945056
"{'periodo_corto': 2, 'periodo_largo': 120, 'periodo_signal': 6}",1.51,0.44565217391304346
"{'periodo_corto': 2, 'periodo_largo': 137, 'periodo_signal': 6}",1.51,0.45555555555555555
"{'periodo_corto': 2, 'periodo_largo': 193, 'periodo_signal': 6}",1.51,0.47619047619047616
"{'periodo_corto': 3, 'periodo_largo': 89, 'periodo_signal': 6}",1.51,0.48717948717948717
"{'periodo_corto': 4, 'periodo_largo': 75, 'periodo_signal': 4}",1.51,0.4444444444444444
"{'periodo_corto': 4, 'periodo_largo': 195, 'periodo_signal': 3}",1.51,0.5061728395061729
"{'periodo_corto': 5, 'periodo_largo': 91, 'periodo_signal': 3}",1.51,0.43023255813953487
"{'periodo_corto': 18, 'periodo_largo': 17, 'periodo_signal': 8}",1.51,0.5967741935483871
"{'periodo_corto': 19, 'periodo_largo': 17, 'periodo_signal': 7}",1.51,0.6274509803921569
"{'periodo_corto': 2, 'periodo_largo': 11, 'periodo_signal': 11}",1.5,0.5
"{'periodo_corto': 2, 'periodo_largo': 16, 'periodo_signal': 5}",1.5,0.4444444444444444
"{'periodo_corto': 2, 'periodo_largo': 89, 'periodo_signal': 6}",1.5,0.4444444444444444
"{'periodo_corto': 2, 'periodo_largo': 96, 'periodo_signal': 6}",1.5,0.44329896907216493
"{'periodo_corto': 2, 'periodo_largo': 134, 'periodo_signal': 6}",1.5,0.45054945054945056
"{'periodo_corto': 2, 'periodo_largo': 135, 'periodo_signal': 6}",1.5,0.45054945054945056
"{'periodo_corto': 2, 'periodo_largo': 179, 'periodo_signal': 6}",1.5,0.4827586206896552
"{'periodo_corto': 2, 'periodo_largo': 199, 'periodo_signal': 6}",1.5,0.5
"{'periodo_corto': 3, 'periodo_largo': 91, 'periodo_signal': 6}",1.5,0.48717948717948717
"{'periodo_corto': 4, 'periodo_largo': 101, 'periodo_signal': 4}",1.5,0.5
"{'periodo_corto': 11, 'periodo_largo': 10, 'periodo_signal': 7}",1.5,0.6363636363636364
"{'periodo_corto': 2, 'periodo_largo': 13, 'periodo_signal': 8}",1.49,0.46601941747572817
"{'periodo_corto': 2, 'periodo_largo': 31, 'periodo_signal': 5}",1.49,0.48333333333333334
"{'periodo_corto': 2, 'periodo_largo': 97, 'periodo_signal': 6}",1.49,0.4329896907216495
"{'periodo_corto': 2, 'periodo_largo': 164, 'periodo_signal': 6}",1.49,0.46511627906976744
"{'periodo_corto': 2, 'periodo_largo': 181, 'periodo_signal': 6}",1.49,0.4883720930232558
"{'periodo_corto': 2, 'periodo_largo': 195, 'periodo_signal': 6}",1.49,0.5
"{'periodo_corto': 3, 'periodo_largo': 98, 'periodo_signal': 5}",1.49,0.4943820224719101
"{'periodo_corto': 4, 'periodo_largo': 73, 'periodo_signal': 4}",1.49,0.44047619047619047
"{'periodo_corto': 4, 'periodo_largo': 75, 'periodo_signal': 3}",1.49,0.4791666666666667
